"","autocorrelation","type1_error","b_all","b_var"
"1",0,0.053,0.0104725,4.44524461961964e-05
"2",0.3,0.065,0.01161,5.93047047047043e-05
"3",0.5,0.077,0.0136875,8.07768706206209e-05
"4",0.7,0.099,0.015975,0.000119218593593593
"5",0.8,0.107,0.017485,0.000149912187187188
"6",0.9,0.138,0.01786,0.000162608008008008
"7",0.95,0.104,0.01908,0.000170962062062062
"8",0.96,0.132,0.01964,0.000190135535535535
"9",0.97,0.109,0.020045,0.000189099574574574
"10",0.98,0.119,0.0201375,0.000174862205955957
"11",0.99,0.087,0.01877,0.000159972072072073
