"","autocorrelation","type1_error","b_all","b_var"
"1",0,0.0550000000000001,0.000757,6.25135135135147e-08
"2",0.3,0.0699999999999999,0.0005045,2.23198198198196e-09
"3",0.5,0.122,0.0005915,3.99176676676681e-08
"4",0.7,0.12,0.0024395,2.49839589589593e-07
"5",0.8,0.087,0.0046235,7.33230980980974e-07
"6",0.9,0.075,0.0111175,5.24869244244241e-06
