"","autocorrelation","type1_error","b_all","b_var"
"1",0,0.06,0.0098975,3.66198636136136e-05
"2",0.3,0.069,0.017555,0.000109243718718718
"3",0.5,0.0790000000000001,0.04875,0.000268018018018017
"4",0.7,0.151,0.114605,0.000697291266266265
"5",0.8,0.216,0.18197,0.0018941007007007
"6",0.9,0.386,0.33018,0.00609653913913915
"7",0.95,0.522,0.4214925,0.00340183052427428
"8",0.96,0.538,0.429959872650031,0.00290664907121971
"9",0.97,0.577,0.432452278493956,0.0029656215500367
"10",0.98,0.619,0.430655754307224,0.00424976569749872
"11",0.99,0.614,0.41518249051778,0.00895033189437932
