"","autocorrelation","type1_error","b_all","b_var"
"1",0,0.064,0.009785,3.57270020020019e-05
"2",0.3,0.0760000000000001,0.0181925,0.000108485178928929
"3",0.5,0.106,0.0490775,0.000234539783533533
"4",0.7,0.159,0.11423,0.000733390490490489
"5",0.8,0.239,0.1830625,0.00172785519894895
"6",0.9,0.387,0.3283,0.0057652002002002
"7",0.95,0.532,0.4290675,0.00273588507882883
"8",0.96,0.561,0.43401,0.00220027017017017
"9",0.97,0.587,0.4395975,0.00166462136511512
"10",0.98,0.644,0.4459525,0.00118711110485485
"11",0.99,0.694,0.4477825,0.00103004398773774
