"","autocorrelation","type1_error","b_all","b_var"
"1",0,0.0520000000000002,0.0038175,1.55950325325328e-06
"2",0.3,0.084,0.0033775,1.42516891891893e-06
"3",0.5,0.101,0.003265,1.32860360360359e-06
"4",0.7,0.113,0.0032075,1.28197572572572e-06
"5",0.8,0.15,0.003165,1.22149649649648e-06
"6",0.9,0.168,0.003215,1.46524024024026e-06
