"","autocorrelation","type1_error","b_all","b_var"
"1",0,0.067,0.001492,2.5018618618619e-07
"2",0.3,0.07,0.001049,4.66456456456464e-08
"3",0.5,0.129,0.001241,2.25144144144143e-07
"4",0.7,0.109,0.004719,1.73977877877876e-06
"5",0.8,0.109,0.009002,4.50650250250252e-06
"6",0.9,0.104,0.020788,3.1002058058058e-05
