"","autocorrelation","type1_error","b_all","b_var"
"1",0,0.0509999999999999,0.002,0
"2",0.3,0.065,0.002,0
"3",0.5,0.127,0.002034,6.69109109109119e-08
"4",0.7,0.0989999999999999,0.005204,1.92030430430432e-06
"5",0.8,0.084,0.00952,4.67827827827829e-06
"6",0.9,0.098,0.021158,3.02933293293293e-05
