"","autocorrelation","type1_error","b_all","b_var"
"1",0,0.0500000000000001,0.003266,2.58783183183183e-06
"2",0.3,0.056,0.003978,4.68820420420413e-06
"3",0.5,0.0750000000000002,0.004766,6.91215615615616e-06
"4",0.7,0.0600000000000001,0.005932,1.10464224224224e-05
"5",0.8,0.096,0.006568,1.34828588588588e-05
"6",0.9,0.12,0.00698,1.54230230230229e-05
