"","autocorrelation","type1_error","b_all","b_var"
"1",0,0.0509999999999999,0.003272,2.64866466466466e-06
"2",0.3,0.054,0.006508,9.23917517517515e-06
"3",0.5,0.071,0.016648,1.67728688688688e-05
"4",0.7,0.069,0.039022,5.6391907907908e-05
"5",0.8,0.073,0.06386,0.000145886286286286
"6",0.9,0.094,0.129982,0.000954886562562563
