"","autocorrelation","type1_error","b_all","b_var"
"1",0,0.046,0.005,0
"2",0.3,0.077,0.005005,2.49999999999996e-08
"3",0.5,0.129,0.00529,1.46736736736737e-06
"4",0.7,0.101,0.012035,2.18055805805806e-05
"5",0.8,0.109,0.022095,6.49008758758762e-05
"6",0.9,0.118,0.04626,0.000353315715715718
