"","autocorrelation","type1_error","b_all","b_var"
"1",0,0.0580000000000001,0.005,0
"2",0.3,0.06,0.005,0
"3",0.5,0.059,0.005,0
"4",0.7,0.105,0.005005,2.49999999999987e-08
"5",0.8,0.128,0.00501,4.99499499499501e-08
"6",0.9,0.16,0.00502,9.96996996997005e-08
