"","autocorrelation","type1_error","b_all","b_var"
"1",0,0.068,0.0093225,3.7159403153153e-05
"2",0.3,0.092,0.019675,0.000105950325325326
"3",0.5,0.129,0.0557475,0.000242139633383381
"4",0.7,0.21,0.1298275,0.000674050544294295
"5",0.8,0.312,0.20597,0.00172129289289289
"6",0.9,0.56,0.3669525,0.00470259659034034
"7",0.95,0.741,0.4361425,0.00198701295670671
"8",0.96,0.754,0.4406475,0.00136981931306307
"9",0.97,0.794,0.4441725,0.00118851000375375
"10",0.98,0.786,0.44639,0.00114974264264264
"11",0.99,0.853,0.4505,0.000951576576576576
