"","autocorrelation","type1_error","b_all","b_var"
"1",0,0.0619999999999999,0.001,0
"2",0.3,0.07,0.001,0
"3",0.5,0.126,0.001002,1.99799799799792e-09
"4",0.7,0.0989999999999998,0.002689,3.28607607607606e-07
"5",0.8,0.093,0.004933,7.63274274274274e-07
"6",0.9,0.083,0.011348,5.40229829829829e-06
